背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,吉田 みなみ,1,,,□,,,2,0,0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,2,1.0,0.0,50.0
2,,山口 舞,4,■,■,■,■,,42,16,1,38.1,4.00,0,0,0,-,3,0.75,10,0,1,0,0.0,0,0.0,0.0,-
3,,今野 加奈子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,関 李香,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
6,,浅津 ゆうこ,4,■,■,■,■,,31,11,1,35.5,2.75,1,0,0,0.0,1,0.25,12,0,0,4,8.3,12,8.0,0.0,66.7
7,,佐々木 萌,4,■,■,■,■,,51,16,2,31.4,4.00,0,0,0,-,0,-,15,0,0,3,5.0,38,27.0,0.0,71.1
8,,川畑 愛希,4,■,■,■,■,,45,12,2,26.7,3.00,0,0,0,-,2,0.50,21,3,0,7,19.8,20,9.0,0.0,45.0
14,,宮下 遥,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,2,0.50,14,0,1,6,10.7,0,0.0,0.0,-
20,L,丸山 亜季,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,6.0,0.0,66.7
22,,卜部 里菜,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,0,0.0,3,1.0,0.0,33.3
23,L,東 万純,2,,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
25,,大升 知春,1,,□,,,,5,2,0,40.0,2.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
27,,森田 結香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
28,,川島 亜依美,4,■,■,■,■,,27,7,1,25.9,1.75,0,0,0,-,2,0.50,15,0,2,6,10.0,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,204,64,7,31.4,16.00,1,0,0,0.0,10,2.50,93,3,4,26,9.6,84,52.0,0.0,61.9
